Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
BA,360.3,Put,360,9/6/2019,1,2.01,2.09,2.18,2.05,1526,297,5.14,29.34%,9/5/2019
SU,29.52,Call,30,10/18/2019,43,0.74,0.76,0.77,0.66,692,135,5.13,20.84%,9/5/2019
CRWD,86.85,Put,80,9/6/2019,1,2.65,2.75,2.85,2.8,1024,200,5.12,320.25%,9/5/2019
CRWD,86.85,Call,120,9/20/2019,15,0.25,0.33,0.4,0.35,2914,571,5.1,93.42%,9/5/2019
IQ,17.82,Call,16.5,9/20/2019,15,1.51,1.53,1.55,1.45,1765,348,5.07,38.97%,9/5/2019
SAGE,160.13,Call,200,1/17/2020,134,8.7,9.1,9.5,8.4,800,158,5.06,52.53%,9/5/2019
MA,292.08,Call,295,9/6/2019,1,0.24,0.27,0.3,0.23,959,190,5.05,18.57%,9/5/2019
NVDA,179.74,Call,187.5,9/13/2019,8,0.97,1,1.03,1.02,1036,206,5.03,33.59%,9/5/2019
NVDA,179.74,Put,180,9/13/2019,8,3.7,3.75,3.8,3.79,1549,308,5.03,34.84%,9/5/2019
BAC,28.12,Put,28,9/13/2019,8,0.33,0.34,0.35,0.34,5286,1051,5.03,24.31%,9/5/2019
CLDR,8.28,Call,8.5,9/20/2019,15,0.25,0.28,0.3,0.29,1559,311,5.01,57.11%,9/5/2019
AMAG,11.83,Put,10,2/21/2020,169,1.6,1.73,1.85,1.73,1000,200,5,88.99%,9/5/2019
MU,49.03,Call,50,9/6/2019,1,0.11,0.11,0.12,0.11,5512,1103,5,41.77%,9/5/2019
ING,9.93,Call,10,9/20/2019,15,0.15,0.18,0.2,0.15,1795,361,4.97,22.23%,9/5/2019
AEG,3.95,Call,5,4/17/2020,225,0.05,0.1,0.15,0.11,1120,226,4.96,31.63%,9/5/2019
SMAR,43.66,Call,45,9/20/2019,15,1.1,1.15,1.2,1.05,1544,314,4.92,45.18%,9/5/2019
MA,292.08,Call,297.5,9/6/2019,1,0.04,0.08,0.11,0.07,693,142,4.88,21.38%,9/5/2019
CSCO,48.42,Call,49,9/13/2019,8,0.36,0.37,0.37,0.41,1677,344,4.88,22.64%,9/5/2019
LULU,188.41,Call,187.5,9/13/2019,8,10,10.13,10.25,10.3,628,129,4.87,88.31%,9/5/2019
REGI,13.47,Call,15,9/20/2019,15,0.3,0.4,0.5,0.3,928,191,4.86,74.21%,9/5/2019
ETFC,42.92,Put,42.5,9/13/2019,8,0.54,0.55,0.56,0.55,514,106,4.85,29.71%,9/5/2019
NTRP,4.77,Call,12.5,1/17/2020,134,1.15,1.95,2.75,1.45,700,145,4.83,236.83%,9/5/2019
TIF,88.19,Put,85,10/18/2019,43,2.22,2.29,2.35,2.29,640,133,4.81,31.65%,9/5/2019
UBER,32.51,Call,33,3/20/2020,197,3.9,4,4.1,3.99,1824,379,4.81,42.62%,9/5/2019
DOCU,46.25,Put,40,10/18/2019,43,1,1.08,1.15,1.07,836,174,4.8,56.52%,9/5/2019
XLNX,105.3,Call,107,9/6/2019,1,0.22,0.24,0.25,0.25,608,127,4.79,37.83%,9/5/2019
BMY,48.51,Call,48,10/18/2019,43,1.71,1.73,1.75,1.72,3063,644,4.76,20.98%,9/5/2019
VZ,58.59,Call,65,9/18/2020,379,1.45,1.48,1.51,1.48,2254,476,4.74,13.80%,9/5/2019
AMZN,1840.72,Call,1835,9/6/2019,1,10.75,11.28,11.8,10.9,3540,750,4.72,19.90%,9/5/2019
HD,228.15,Put,227.5,9/13/2019,8,2.04,2.13,2.22,2.15,542,115,4.71,18.65%,9/5/2019
GFI,5.48,Put,5.5,1/17/2020,134,0.6,0.61,0.62,0.6,1001,213,4.7,46.34%,9/5/2019
LULU,188.41,Call,215,9/6/2019,1,0.98,1.03,1.07,0.98,1601,341,4.7,196.71%,9/5/2019
NFLX,293.25,Call,290,9/6/2019,1,4.05,4.15,4.25,4.25,8769,1865,4.7,36.94%,9/5/2019
ADNT,24.38,Call,26,1/17/2020,134,3.6,3.8,4,3.9,505,108,4.68,76.15%,9/5/2019
CTRP,34.1,Call,37,10/18/2019,43,0.95,1,1.05,1,513,110,4.66,43.56%,9/5/2019
NFLX,293.25,Call,292.5,9/6/2019,1,2.4,2.49,2.58,2.6,6286,1356,4.64,35.90%,9/5/2019
HIIQ,16.84,Put,10,9/20/2019,15,0,0.05,0.1,0.1,611,132,4.63,161.84%,9/5/2019
NFLX,293.25,Put,280,9/6/2019,1,0.09,0.11,0.13,0.11,8836,1910,4.63,49.53%,9/5/2019
AMZN,1840.72,Call,1837.5,9/6/2019,1,9.25,9.55,9.85,9.45,1098,238,4.61,19.98%,9/5/2019
WORK,30.01,Put,29,9/20/2019,15,0.95,0.98,1,0.99,4486,976,4.6,60.79%,9/5/2019
AMZN,1840.72,Call,1847.5,9/6/2019,1,4.65,4.88,5.1,5.1,845,184,4.59,20.77%,9/5/2019
ATVI,54.58,Call,55,9/6/2019,1,0.26,0.28,0.29,0.26,3407,743,4.59,38.21%,9/5/2019
LULU,188.41,Call,187.5,9/6/2019,1,9.35,9.63,9.9,9.43,1390,307,4.53,228.49%,9/5/2019
AMZN,1840.72,Call,1830,9/13/2019,8,26.55,27.1,27.65,26.9,998,221,4.52,19.02%,9/5/2019
APH,89.79,Call,95,10/18/2019,43,0.75,0.8,0.85,0.81,1537,341,4.51,20.33%,9/5/2019
LVGO,25.55,Call,25,9/20/2019,15,1.8,2.03,2.25,1.9,518,115,4.5,78.30%,9/5/2019
AMZN,1840.72,Put,1820,9/13/2019,8,11.45,11.8,12.15,12.15,525,117,4.49,19.62%,9/5/2019
MOS,19.38,Call,19.5,9/6/2019,1,0.1,0.13,0.15,0.11,762,170,4.48,40.05%,9/5/2019
PANW,212.05,Put,210,9/6/2019,1,0.82,0.91,0.99,0.86,1831,409,4.48,38.47%,9/5/2019
PZZA,49.44,Call,62.5,1/17/2020,134,0.9,1.08,1.25,1.05,500,112,4.46,37.53%,9/5/2019
GILD,64.06,Put,61.5,9/20/2019,15,0.45,0.46,0.48,0.41,1119,251,4.46,26.14%,9/5/2019
TWTR,45.3,Call,46.5,9/13/2019,8,0.45,0.46,0.47,0.45,774,174,4.45,34.03%,9/5/2019
LULU,188.41,Put,150,9/13/2019,8,0.51,0.56,0.61,0.59,760,171,4.44,97.63%,9/5/2019
GS,207.05,Put,202.5,9/13/2019,8,1.13,1.17,1.21,1.11,501,113,4.43,23.57%,9/5/2019
V,184.73,Call,187.5,9/6/2019,1,0.03,0.07,0.1,0.03,1091,247,4.42,16.70%,9/5/2019
ROKU,166.93,Call,162.5,9/6/2019,1,5.1,5.2,5.3,5.05,7573,1714,4.42,62.09%,9/5/2019
GS,207.05,Call,215,9/13/2019,8,0.27,0.3,0.33,0.33,541,123,4.4,20.33%,9/5/2019
AMZN,1840.72,Call,1842.5,9/6/2019,1,6.7,7.03,7.35,6.7,1237,281,4.4,19.53%,9/5/2019
AMZN,1840.72,Call,1840,9/13/2019,8,20.35,20.88,21.4,20.81,1022,233,4.39,18.43%,9/5/2019
ABBV,67.03,Put,65.5,9/20/2019,15,0.58,0.62,0.65,0.62,1024,234,4.38,23.47%,9/5/2019
GOOGL,1212.19,Call,1230,9/13/2019,8,5,5.2,5.4,5.3,634,145,4.37,16.65%,9/5/2019
NFLX,293.25,Call,295,9/6/2019,1,1.28,1.33,1.37,1.26,12450,2858,4.36,32.71%,9/5/2019
LULU,188.41,Put,170,9/6/2019,1,2.33,2.39,2.45,2.54,3020,695,4.35,237.35%,9/5/2019
LULU,188.41,Call,250,9/20/2019,15,0.07,0.1,0.13,0.1,1003,231,4.34,60.70%,9/5/2019
ROKU,166.93,Call,190,9/20/2019,15,1.45,1.57,1.69,1.54,1687,389,4.34,59.10%,9/5/2019
MSFT,140.05,Put,139,9/13/2019,8,1.15,1.16,1.17,1.18,1910,440,4.34,20.37%,9/5/2019
SHOP,392.72,Call,400,9/13/2019,8,6.4,6.6,6.8,6.4,1477,342,4.32,40.73%,9/5/2019
WBA,52.33,Call,54.5,9/20/2019,15,0.22,0.23,0.24,0.25,2106,488,4.32,22.26%,9/5/2019
NFLX,293.25,Call,290,9/13/2019,8,7.1,7.25,7.4,7.25,1990,464,4.29,31.31%,9/5/2019
MAT,9.81,Call,10,9/20/2019,15,0.3,0.35,0.4,0.3,745,175,4.26,47.97%,9/5/2019
SHOP,392.72,Put,385,9/6/2019,1,1.4,1.45,1.5,1.52,881,207,4.26,53.39%,9/5/2019
CSCO,48.42,Call,49.5,9/6/2019,1,0,0.02,0.03,0.02,1399,330,4.24,27.71%,9/5/2019
YPF,9.25,Call,10,10/18/2019,43,0.6,0.63,0.65,0.63,2268,535,4.24,72.32%,9/5/2019
CIEN,39.62,Call,41,9/6/2019,1,0.05,0.1,0.15,0.12,3367,794,4.24,66.32%,9/5/2019
ZM,92.69,Call,91,9/13/2019,8,6.4,6.55,6.7,6.3,508,120,4.23,99.48%,9/5/2019
PPG,113.34,Put,110,9/20/2019,15,0.75,0.95,1.15,1,1005,238,4.22,25.75%,9/5/2019
ACB,5.86,Call,8,10/18/2019,43,0.05,0.07,0.08,0.08,2039,486,4.2,70.79%,9/5/2019
GPS,16.99,Put,17,9/13/2019,8,0.44,0.45,0.46,0.43,528,127,4.16,42.74%,9/5/2019
WORK,30.01,Call,26,9/20/2019,15,3.5,3.95,4.4,4.2,1199,288,4.16,57.43%,9/5/2019
JBLU,16.52,Put,19,1/17/2020,134,2.7,2.75,2.8,2.67,718,173,4.15,26.74%,9/5/2019
AMZN,1840.72,Put,1795,9/6/2019,1,0.26,0.36,0.45,0.35,1240,299,4.15,26.58%,9/5/2019
WORK,30.01,Call,28,9/20/2019,15,2.55,2.72,2.9,2.64,3171,766,4.14,59.49%,9/5/2019
LULU,188.41,Put,150,9/6/2019,1,0.28,0.3,0.31,0.2,4179,1009,4.14,225.23%,9/5/2019
COST,296.97,Put,295,9/13/2019,8,2.51,2.61,2.71,2.5,587,142,4.13,19.74%,9/5/2019
MNK,1.59,Put,2.5,9/20/2019,15,0.95,1.08,1.2,1.1,2038,493,4.13,329.67%,9/5/2019
MU,49.03,Call,50.5,9/6/2019,1,0.04,0.06,0.07,0.06,762,185,4.12,45.20%,9/5/2019
CGC,26.4,Put,26.5,9/13/2019,8,0.99,1.03,1.07,1,543,132,4.11,61.19%,9/5/2019
AMZN,1840.72,Call,1850,9/6/2019,1,3.7,3.93,4.15,3.75,10768,2621,4.11,19.35%,9/5/2019
BABA,178.94,Put,177.5,9/27/2019,22,5.05,5.13,5.2,5.25,504,123,4.1,34.66%,9/5/2019
AMZN,1840.72,Put,1830,9/13/2019,8,14.55,14.98,15.4,15.5,558,136,4.1,19.16%,9/5/2019
GOLD,18.4,Call,18,9/13/2019,8,0.62,0.64,0.65,0.63,686,168,4.08,36.54%,9/5/2019
CLDR,8.28,Put,7.5,9/6/2019,1,0,0.03,0.05,0.03,833,204,4.08,149.22%,9/5/2019
WORK,30.01,Call,24,9/20/2019,15,5.4,6.35,7.3,6.2,509,125,4.07,80.54%,9/5/2019
TWTR,45.3,Call,46,9/13/2019,8,0.61,0.62,0.63,0.6,2308,569,4.06,33.36%,9/5/2019
LULU,188.41,Put,160,12/20/2019,106,5.7,5.88,6.05,5.85,851,210,4.05,44.53%,9/5/2019
CVX,117.64,Call,145,6/19/2020,288,0.55,0.71,0.87,0.91,1001,248,4.04,16.89%,9/5/2019
XEC,43.18,Call,45,10/18/2019,43,1.95,2.15,2.35,2.3,1510,374,4.04,51.15%,9/5/2019
AMC,12.02,Call,9,9/20/2019,15,2.95,3.03,3.1,3,2034,504,4.04,0.00%,9/5/2019
ALXN,100.28,Put,90,9/20/2019,15,0.4,0.48,0.55,0.45,1069,265,4.03,43.90%,9/5/2019
TLRY,32.08,Call,35,9/13/2019,8,0.86,0.89,0.91,0.89,1110,277,4.01,102.08%,9/5/2019
NEM,39.34,Call,41,11/15/2019,71,1.32,1.36,1.39,1.4,1568,391,4.01,29.26%,9/5/2019
ARQL,9.11,Call,12.5,1/17/2020,134,1,1.1,1.2,1.05,5004,1247,4.01,91.77%,9/5/2019
KSS,48.25,Call,48.5,9/6/2019,1,0.25,0.3,0.35,0.27,2010,502,4,37.71%,9/5/2019
WFC,47.62,Call,48,9/6/2019,1,0.11,0.13,0.14,0.14,2651,663,4,29.10%,9/5/2019
TLRY,32.08,Call,27,9/20/2019,15,5.25,5.38,5.5,5.51,862,216,3.99,84.31%,9/5/2019
ROK,158.7,Put,140,10/18/2019,43,0.8,0.98,1.15,0.95,1152,289,3.99,31.64%,9/5/2019
ET,13.48,Put,13.5,9/20/2019,15,0.24,0.27,0.29,0.25,4672,1171,3.99,22.53%,9/5/2019
LULU,188.41,Call,205,9/6/2019,1,2.58,2.68,2.77,2.65,3654,917,3.98,206.79%,9/5/2019
SNAP,15.87,Put,14.5,9/13/2019,8,0.05,0.06,0.06,0.05,1063,268,3.97,47.62%,9/5/2019
AAPL,213.28,Put,210,9/6/2019,1,0.22,0.22,0.22,0.21,19038,4791,3.97,27.21%,9/5/2019
PDD,34.87,Call,36,10/18/2019,43,1.55,1.6,1.65,1.65,689,174,3.96,44.02%,9/5/2019
TME,13.04,Call,14,4/17/2020,225,1.2,1.28,1.35,1.25,2600,656,3.96,38.46%,9/5/2019
PANW,212.05,Call,212.5,9/6/2019,1,1.5,1.71,1.93,1.53,1285,325,3.95,39.26%,9/5/2019
TGT,108.54,Put,108,9/13/2019,8,1.12,1.16,1.19,1.18,571,145,3.94,22.77%,9/5/2019
WDC,61.95,Put,40,2/21/2020,169,1.06,1.12,1.18,1.1,1393,354,3.94,55.92%,9/5/2019
NNN,55.23,Put,55,9/20/2019,15,0.7,0.73,0.75,0.71,1839,467,3.94,18.88%,9/5/2019
MDT,107.72,Call,109,9/13/2019,8,0.48,0.52,0.56,0.56,944,241,3.92,16.63%,9/5/2019
CVS,62.76,Call,115,1/15/2021,498,0.11,0.16,0.2,0.2,500,128,3.91,24.65%,9/5/2019
TWTR,45.3,Call,46,11/15/2019,71,3.35,3.4,3.45,3.4,802,205,3.91,45.64%,9/5/2019
TWLO,129.73,Call,126,9/6/2019,1,3.8,3.98,4.15,4,511,131,3.9,52.76%,9/5/2019
FITB,26.75,Call,27,10/18/2019,43,0.73,0.74,0.75,0.78,552,142,3.89,23.65%,9/5/2019
MU,49.03,Call,52,9/20/2019,15,0.49,0.5,0.51,0.48,1543,397,3.89,37.10%,9/5/2019
GOOG,1211.38,Put,1200,9/6/2019,1,1.55,1.75,1.95,1.8,819,211,3.88,23.11%,9/5/2019
WEC,95.33,Put,90,10/18/2019,43,0.7,0.8,0.9,0.8,1014,262,3.87,21.47%,9/5/2019
VFC,86.51,Call,85,9/20/2019,15,2.15,2.35,2.55,1.71,949,246,3.86,9.01%,9/5/2019
GS,207.05,Put,207.5,9/13/2019,8,2.77,2.83,2.88,2.72,808,211,3.83,20.74%,9/5/2019
ENDP,2.36,Call,2,1/17/2020,134,0.7,0.85,1,0.95,855,224,3.82,147.47%,9/5/2019
CHK,1.6,Put,1.5,9/13/2019,8,0.03,0.04,0.05,0.04,1513,396,3.82,88.07%,9/5/2019
SMAR,43.66,Call,50,11/15/2019,71,1.45,1.58,1.7,1.55,1264,332,3.81,47.22%,9/5/2019
WBA,52.33,Put,52.5,9/13/2019,8,0.73,0.77,0.8,0.78,517,136,3.8,22.76%,9/5/2019
INTC,50.1,Call,52,9/13/2019,8,0.13,0.15,0.16,0.15,1296,341,3.8,24.49%,9/5/2019
WORK,30.01,Call,29,9/20/2019,15,1.9,2.08,2.25,2.05,3020,795,3.8,61.90%,9/5/2019
PCAR,68.2,Put,60.5,12/20/2019,106,1.3,1.43,1.55,1.35,505,134,3.77,30.58%,9/5/2019
NVDA,179.74,Call,185,9/13/2019,8,1.6,1.63,1.65,1.64,2388,633,3.77,34.00%,9/5/2019
MU,49.03,Put,48,9/6/2019,1,0.11,0.13,0.14,0.13,1395,372,3.75,47.34%,9/5/2019
SFIX,19,Put,30,1/17/2020,134,11.4,11.5,11.6,11.55,1797,479,3.75,71.14%,9/5/2019
AMAT,50.35,Call,60,10/18/2019,43,0.1,0.11,0.12,0.13,740,198,3.74,31.11%,9/5/2019
WFC,47.62,Put,47,9/13/2019,8,0.38,0.4,0.41,0.39,1308,350,3.74,23.69%,9/5/2019
LULU,188.41,Call,220,9/6/2019,1,0.5,0.53,0.57,0.54,1886,506,3.73,191.67%,9/5/2019
LULU,188.41,Call,230,9/6/2019,1,0.16,0.17,0.17,0.17,2083,558,3.73,189.44%,9/5/2019
BA,360.3,Put,357.5,9/13/2019,8,4.15,4.25,4.35,4.2,860,231,3.72,26.22%,9/5/2019
AMZN,1840.72,Call,1825,9/6/2019,1,17.75,18.58,19.4,18.31,2823,758,3.72,21.01%,9/5/2019
CAT,122.99,Put,123,9/13/2019,8,1.67,1.69,1.72,1.67,1099,296,3.71,23.31%,9/5/2019
JD,30.84,Call,31.5,9/13/2019,8,0.34,0.35,0.36,0.34,1181,318,3.71,33.10%,9/5/2019
AMZN,1840.72,Call,1827.5,9/6/2019,1,15.85,16.58,17.3,15.75,1263,340,3.71,18.84%,9/5/2019
COST,296.97,Call,307.5,9/6/2019,1,0,0.04,0.08,0.1,615,166,3.7,38.18%,9/5/2019
SHOP,392.72,Call,392.5,9/6/2019,1,3.7,3.9,4.1,4.2,664,180,3.69,49.74%,9/5/2019
AMZN,1840.72,Call,1835,9/13/2019,8,23.45,23.92,24.4,24.4,724,196,3.69,19.32%,9/5/2019
GILD,64.06,Put,64.5,9/6/2019,1,0.56,0.58,0.6,0.59,738,200,3.69,24.32%,9/5/2019
V,184.73,Call,187.5,9/13/2019,8,0.88,0.94,0.99,0.94,1503,407,3.69,18.22%,9/5/2019
JPM,112.37,Call,116,9/20/2019,15,0.43,0.45,0.47,0.48,3282,890,3.69,18.32%,9/5/2019
FEYE,13.59,Call,13.5,9/13/2019,8,0.51,0.52,0.52,0.51,31238,8516,3.67,57.58%,9/5/2019
MA,292.08,Call,292.5,9/6/2019,1,1,1.03,1.05,1,977,267,3.66,19.51%,9/5/2019
TGT,108.54,Call,110,9/6/2019,1,0.11,0.12,0.13,0.1,3214,877,3.66,23.84%,9/5/2019
DOCU,46.25,Put,40,9/20/2019,15,0.6,0.63,0.65,0.64,2454,673,3.65,77.44%,9/5/2019
MSFT,140.05,Put,140,9/6/2019,1,0.62,0.64,0.65,0.64,5209,1430,3.64,22.87%,9/5/2019
BA,360.3,Call,365,9/6/2019,1,0.46,0.52,0.58,0.5,5225,1435,3.64,26.95%,9/5/2019
BA,360.3,Put,355,9/6/2019,1,0.67,0.68,0.68,0.69,3608,993,3.63,33.47%,9/5/2019
ROKU,166.93,Put,160,9/6/2019,1,0.38,0.4,0.41,0.4,13642,3758,3.63,71.95%,9/5/2019
COTY,9.91,Call,5,1/17/2020,134,4.8,4.93,5.05,4.85,1000,277,3.61,0.00%,9/5/2019
SWN,1.95,Call,2,10/18/2019,43,0.24,0.25,0.26,0.25,1829,508,3.6,101.21%,9/5/2019
QCOM,78.99,Call,90,11/15/2019,71,0.78,0.87,0.96,0.78,7946,2207,3.6,27.47%,9/5/2019
AAPL,213.28,Call,215,9/6/2019,1,0.27,0.29,0.3,0.3,37995,10563,3.6,20.36%,9/5/2019
CTRP,34.1,Call,35,9/13/2019,8,1.05,1.1,1.15,1.1,597,167,3.57,73.61%,9/5/2019
COST,296.97,Put,290,9/13/2019,8,1.19,1.26,1.32,1.21,554,156,3.55,21.55%,9/5/2019
MSFT,140.05,Put,140,9/13/2019,8,1.51,1.54,1.56,1.55,1693,477,3.55,19.42%,9/5/2019
TSLA,229.58,Put,222.5,9/6/2019,1,0.4,0.43,0.45,0.41,3738,1053,3.55,53.23%,9/5/2019
ABBV,67.03,Call,67.5,9/6/2019,1,0.12,0.15,0.17,0.11,2002,566,3.54,20.25%,9/5/2019
AMZN,1840.72,Put,1810,9/6/2019,1,0.69,0.88,1.06,0.82,2686,761,3.53,23.13%,9/5/2019
V,184.73,Put,182.5,9/13/2019,8,1.29,1.37,1.45,1.4,1283,364,3.52,21.95%,9/5/2019
LULU,188.41,Put,162.5,9/6/2019,1,1.1,1.17,1.24,1.12,2048,581,3.52,230.53%,9/5/2019
ROKU,166.93,Put,165,9/6/2019,1,1.5,1.55,1.6,1.5,7391,2097,3.52,67.62%,9/5/2019
AMZN,1840.72,Put,1805,9/6/2019,1,0.33,0.59,0.84,0.6,1435,409,3.51,24.19%,9/5/2019
RTN,185.27,Put,170,10/18/2019,43,1.16,1.52,1.88,1.6,941,269,3.5,27.70%,9/5/2019
AMAT,50.35,Call,52,9/13/2019,8,0.3,0.31,0.32,0.3,1524,438,3.48,29.31%,9/5/2019
JPM,112.37,Call,113,9/6/2019,1,0.26,0.29,0.32,0.3,3804,1094,3.48,23.68%,9/5/2019
LYFT,46.4,Call,47.5,9/6/2019,1,0.15,0.18,0.2,0.2,1322,381,3.47,60.63%,9/5/2019
TWTR,45.3,Call,42.5,9/13/2019,8,2.91,2.98,3.05,2.91,3881,1119,3.47,32.66%,9/5/2019
ETSY,50.1,Call,55,11/15/2019,71,2.85,2.93,3,2.95,736,213,3.46,53.72%,9/5/2019
PBR,14.14,Put,13.5,10/4/2019,29,0.27,0.29,0.3,0.28,2169,627,3.46,35.35%,9/5/2019
TSLA,229.58,Call,240,9/13/2019,8,1.73,1.76,1.79,1.76,2241,647,3.46,39.16%,9/5/2019
CPRT,80.61,Call,85,2/21/2020,169,3.5,3.75,4,3.65,829,240,3.45,23.49%,9/5/2019
LULU,188.41,Put,185,9/6/2019,1,7.3,7.45,7.6,7.5,2162,627,3.45,233.78%,9/5/2019
WBA,52.33,Call,53,9/13/2019,8,0.38,0.41,0.43,0.44,702,204,3.44,23.06%,9/5/2019
ROKU,166.93,Call,170,9/6/2019,1,1.12,1.15,1.18,1.16,15229,4440,3.43,67.78%,9/5/2019
GOLD,18.4,Call,18,9/27/2019,22,0.87,0.92,0.97,0.96,1063,311,3.42,40.97%,9/5/2019
LULU,188.41,Call,210,9/6/2019,1,1.01,1.43,1.85,1.65,3444,1008,3.42,201.30%,9/5/2019
KGC,5.08,Put,5,9/13/2019,8,0.09,0.11,0.12,0.1,545,160,3.41,46.12%,9/5/2019
NEM,39.34,Put,38,3/20/2020,197,2.62,2.7,2.78,2.73,586,172,3.41,31.49%,9/5/2019
INTC,50.1,Call,51,9/6/2019,1,0.03,0.05,0.06,0.06,1732,508,3.41,31.52%,9/5/2019
WORK,30.01,Put,26,10/18/2019,43,0.55,0.68,0.8,0.65,732,215,3.4,54.56%,9/5/2019
ZM,92.69,Put,90,9/6/2019,1,3.7,3.85,4,3.8,721,214,3.37,264.11%,9/5/2019
AMD,31.5,Put,31.5,9/27/2019,22,1.29,1.3,1.31,1.31,738,219,3.37,43.14%,9/5/2019
FB,190.9,Call,192.5,9/13/2019,8,1.89,1.97,2.05,1.94,7106,2109,3.37,23.21%,9/5/2019
SQ,63.02,Put,62.5,9/6/2019,1,0.28,0.3,0.31,0.29,1406,420,3.35,38.88%,9/5/2019
BBBY,10.13,Call,12,10/18/2019,43,0.43,0.48,0.53,0.48,3960,1181,3.35,78.32%,9/5/2019
TSLA,229.58,Put,225,9/6/2019,1,0.72,0.75,0.77,0.77,6891,2054,3.35,50.54%,9/5/2019
WORK,30.01,Call,33,10/18/2019,43,1,1.08,1.15,1.1,662,198,3.34,52.65%,9/5/2019
TWTR,45.3,Put,44,9/6/2019,1,0.02,0.03,0.04,0.04,1194,360,3.32,41.43%,9/5/2019
AMD,31.5,Call,32.5,9/13/2019,8,0.39,0.4,0.41,0.4,11202,3381,3.31,42.23%,9/5/2019
BIIB,223.96,Call,230,9/20/2019,15,2.45,2.58,2.7,2.57,524,159,3.3,27.00%,9/5/2019
PLAB,10.87,Put,5,3/20/2020,197,0,0.1,0.2,0.18,690,210,3.29,80.63%,9/5/2019
FB,190.9,Call,235,11/15/2019,71,0.51,0.55,0.59,0.55,760,231,3.29,28.13%,9/5/2019
PLAB,10.87,Put,2.5,3/20/2020,197,0,0.25,0.5,0.07,1610,490,3.29,116.39%,9/5/2019
FB,190.9,Call,192.5,9/6/2019,1,0.36,0.38,0.4,0.4,19113,5803,3.29,24.98%,9/5/2019
GS,207.05,Call,212.5,9/13/2019,8,0.68,0.71,0.74,0.77,656,200,3.28,21.17%,9/5/2019
SBUX,95.56,Call,98.5,9/6/2019,1,0,0.01,0.02,0.02,1352,412,3.28,31.25%,9/5/2019
ROKU,166.93,Call,165,9/6/2019,1,3.3,3.4,3.5,3.35,10501,3199,3.28,64.89%,9/5/2019
TWTR,45.3,Call,45,9/6/2019,1,0.5,0.52,0.53,0.5,10866,3310,3.28,34.65%,9/5/2019
TEVA,6.89,Call,6.5,9/6/2019,1,0.32,0.4,0.47,0.4,2762,844,3.27,78.46%,9/5/2019
TSLA,229.58,Put,205,9/13/2019,8,0.48,0.5,0.52,0.48,1866,574,3.25,51.16%,9/5/2019
NFLX,293.25,Call,282.5,9/6/2019,1,10.65,10.9,11.15,10.47,1078,333,3.24,0.00%,9/5/2019
HST,16.72,Call,17,9/20/2019,15,0.1,0.15,0.2,0.1,821,254,3.23,15.13%,9/5/2019
WORK,30.01,Put,29,10/18/2019,43,1.5,1.58,1.65,1.6,883,275,3.21,52.02%,9/5/2019
AAPL,213.28,Put,215,9/6/2019,1,1.91,2.03,2.15,2.12,6763,2106,3.21,23.55%,9/5/2019
SA,14.75,Call,15,10/18/2019,43,0.9,0.93,0.95,0.9,538,168,3.2,49.37%,9/5/2019
JWN,31.07,Call,33,9/6/2019,1,0,0.04,0.08,0.03,1068,334,3.2,72.95%,9/5/2019
NFLX,293.25,Call,300,9/13/2019,8,2.55,2.58,2.6,2.57,3793,1190,3.19,29.83%,9/5/2019
SQ,63.02,Put,64,9/6/2019,1,1.08,1.12,1.16,1.12,2243,710,3.16,36.39%,9/5/2019
WMT,115.44,Call,118,9/6/2019,1,0.01,0.02,0.03,0.01,1513,481,3.15,20.64%,9/5/2019
UBER,32.51,Put,32.5,9/13/2019,8,0.75,0.8,0.85,0.8,643,206,3.12,42.33%,9/5/2019
NOK,4.97,Call,5,10/4/2019,29,0.11,0.13,0.14,0.14,738,237,3.11,26.90%,9/5/2019
ZM,92.69,Put,65,9/20/2019,15,0.15,0.2,0.25,0.21,1315,423,3.11,96.82%,9/5/2019
GWRE,95.41,Call,105,9/20/2019,15,1.45,1.5,1.55,1.39,524,169,3.1,57.93%,9/5/2019
NFLX,293.25,Put,285,9/13/2019,8,2.41,2.46,2.51,2.5,2028,655,3.1,33.65%,9/5/2019
CREE,43.62,Call,45,9/20/2019,15,0.73,0.84,0.95,0.88,1158,375,3.09,40.59%,9/5/2019
GM,38.73,Call,39,9/6/2019,1,0.12,0.14,0.15,0.24,529,173,3.06,44.12%,9/5/2019
ULTA,236.71,Call,237.5,9/6/2019,1,1.45,1.53,1.6,1.65,1464,479,3.06,40.69%,9/5/2019
WDC,61.95,Call,62.5,9/6/2019,1,0.3,0.32,0.33,0.33,699,229,3.05,43.21%,9/5/2019
LULU,188.41,Call,212.5,9/6/2019,1,1.25,1.32,1.38,1.24,726,238,3.05,197.06%,9/5/2019
JD,30.84,Call,30.5,9/6/2019,1,0.44,0.45,0.46,0.44,4207,1380,3.05,35.89%,9/5/2019
TSLA,229.58,Call,227.5,9/6/2019,1,3.3,3.35,3.4,3.35,6946,2278,3.05,44.91%,9/5/2019
BAC,28.12,Call,28.5,9/6/2019,1,0.05,0.06,0.06,0.06,22430,7346,3.05,32.65%,9/5/2019
ULTA,236.71,Put,240,9/6/2019,1,3.7,3.9,4.1,3.3,717,236,3.04,14.34%,9/5/2019
